Ульяновская область,Новомалыклинская,УИК №2003,396,400,0,290,45,65,45,290,0,335,0,0,1,20,9,303,1,1,0,0
Рязанская область,Александро-Невская,УИК №13,518,540,0,381,38,121,38,381,3,416,0,0,1,13,22,377,1,2,0,0
Курская область,Золотухинская,УИК №467,1064,950,0,560,85,305,85,560,5,640,0,0,0,41,36,552,3,4,1,3
Алтайский край,Шипуновская,УИК №1869,148,141,0,113,9,19,9,113,1,121,0,0,1,7,14,97,1,1,0,0
Приморский край,Владивосток, Советская,УИК №815,1108,900,0,607,10,283,10,607,9,608,0,0,7,139,43,397,15,1,4,2
Томская область,Шегарская,УИК №766,81,90,0,40,8,42,8,40,0,48,0,0,0,4,3,40,1,0,0,0
Белгородская область,Губкинская,УИК №604,165,172,0,113,23,36,23,113,3,133,0,0,2,30,7,91,2,0,0,1
Республика Башкортостан,Бураевская,УИК №1606,130,130,0,90,21,19,21,90,1,110,0,0,0,4,3,101,1,1,0,0
Московская область,Наро-Фоминская городская,УИК №1814,584,500,0,361,30,109,30,361,4,387,0,0,1,29,19,330,5,2,0,1
Ставропольский край,Пятигорская городская,УИК №1108,1845,1900,0,1144,19,737,19,1144,21,1142,0,0,4,167,61,857,27,13,6,7
Ивановская область,Лухская,УИК №549,741,850,0,419,151,280,151,419,5,565,0,0,4,87,78,380,5,3,6,2
Иркутская область,Усолье-Сибирская городская,УИК №1493,2489,2400,0,1162,20,1218,20,1162,11,1171,0,0,11,232,85,829,4,5,1,4
Забайкальский край,Чита, Центральная,УИК №115,2622,2400,0,1467,90,843,90,1465,16,1539,0,0,14,194,121,1161,12,8,14,15
Пензенская область,Бессоновская,УИК №385,1147,1100,0,1013,43,44,43,1013,8,1048,0,0,3,130,70,818,16,4,4,3
Приморский край,Партизанская городская,УИК №2207,1018,1050,0,450,33,567,33,450,7,476,0,0,6,126,46,285,4,3,2,4
Свердловская область,Талицкая ,УИК №982,369,500,0,242,85,173,85,242,3,324,0,0,2,30,21,267,3,0,1,0
Свердловская область,Екатеринбург, Верх-Исетская,УИК №2651,803,775,0,526,4,245,4,526,5,525,0,0,2,56,26,390,32,1,7,11
Алтайский край,Каменская,УИК №407,1440,1200,0,855,84,261,84,855,11,928,0,0,4,237,48,621,9,5,2,2
Архангельская область,Архангельск, Южная,УИК №1038,12,12,0,12,0,0,0,12,0,12,0,0,0,0,0,12,0,0,0,0
Челябинская область,Челябинск, Курчатовская,УИК №601,1462,1400,0,894,24,482,24,894,9,909,0,0,5,131,63,659,19,7,9,16
Волгоградская область,Старополтавская,УИК №3824,413,400,0,295,61,44,61,295,1,355,0,0,1,16,22,301,6,3,3,3
Краснодарский край,Павловская,УИК №3920,1260,1260,0,920,306,34,306,920,4,1222,0,0,2,88,107,1002,4,8,8,3
Республика Башкортостан,Благоварская,УИК №1454,458,480,0,337,39,104,39,337,0,376,0,0,0,53,16,303,0,1,2,1
Архангельская область,Вельская,УИК №205,222,200,0,116,19,65,19,116,1,134,0,0,0,13,13,108,0,0,0,0
город Санкт-Петербург,Территориальная избирательная комиссия №29,УИК №2137,2437,2000,0,1452,49,499,49,1448,11,1486,0,0,12,128,67,1112,75,9,22,61
Оренбургская область,Ясненская городская,УИК №1865,1636,1628,0,1045,49,534,49,1044,7,1086,0,0,4,162,93,799,2,10,8,8
Красноярский край,Красноярск, Кировская,УИК №206,1682,1700,0,992,15,693,15,991,2,1004,0,0,6,110,69,773,17,5,10,14
Рязанская область,Рыбновская,УИК №362,341,300,0,175,62,63,62,175,2,235,0,0,1,29,16,188,0,0,1,0
Хабаровский край,Амурская,УИК №407,1586,1650,0,813,32,805,32,813,15,830,0,0,7,199,76,519,7,8,7,7
Архангельская область,Онежская,УИК №649,199,190,3,88,4,95,7,88,1,94,0,0,0,0,12,80,0,0,2,0
Иркутская область,Братская городская,УИК №1891,193,150,0,99,4,47,4,99,1,102,0,0,1,17,9,70,2,0,2,1
Московская область,Одинцовская № 2,УИК №2033,709,700,0,394,119,187,119,394,5,508,0,0,3,65,31,377,15,1,7,9
Рязанская область,Пронская,УИК №311,90,90,0,53,19,18,19,53,0,72,0,0,0,5,4,62,1,0,0,0
Краснодарский край,Новороссийск, Центральная,УИК №3702,1638,1600,0,1368,107,125,107,1368,1,1474,0,0,2,77,24,1340,9,4,11,7
Иркутская область,Усть-Кутская,УИК №1628,1122,1100,0,420,14,666,14,420,6,428,0,0,1,68,44,307,1,3,3,1
город Санкт-Петербург,Территориальная избирательная комиссия №14,УИК №280,1869,2000,0,1230,28,742,28,1230,17,1241,0,0,13,111,53,967,48,10,12,27
город Москва,район Зюзино,УИК №2195,1855,1650,0,979,45,626,45,979,16,1008,0,0,7,100,54,760,41,4,14,28
Курская область,Курск, Сеймская,УИК №42,2036,1900,0,1136,59,705,59,1136,10,1185,0,0,5,129,68,935,18,5,15,10
Республика Коми,Сыктывкар, Эжвинская,УИК №96,2155,1900,0,1453,23,424,23,1453,23,1453,0,0,9,155,138,1069,29,15,19,19
Саратовская область,Саратов, Волжская,УИК №38,1479,1300,0,574,48,678,48,573,4,617,0,0,3,78,38,470,10,3,9,6
город Санкт-Петербург,Территориальная избирательная комиссия №29,УИК №2124,2433,2500,0,1445,158,897,158,1445,11,1592,0,0,18,136,68,1246,52,18,22,32
Владимирская область,Петушинская,УИК №204,344,330,0,136,50,144,50,136,0,186,0,0,1,18,17,146,2,1,1,0
Республика Дагестан,Хасавюртовская,УИК №1553,600,600,0,561,10,29,10,561,0,571,0,0,0,7,0,563,0,1,0,0
Астраханская область,Харабалинская,УИК №1506,1091,1000,0,496,89,415,89,496,2,583,0,0,0,30,7,545,1,0,0,0
Свердловская область,Серовская городская,УИК №802,920,900,0,504,121,275,121,504,10,615,0,0,0,24,47,534,3,3,2,2
Липецкая область,Елецкая городская,УИК №709,1400,1300,0,923,32,345,32,923,17,938,0,0,6,125,53,711,12,11,10,10
Ростовская область,Егорлыкская,УИК №607,1298,1290,0,1105,90,95,90,1105,17,1178,0,0,3,53,51,1057,7,3,2,2
Владимирская область,Ковровская городская,УИК №711,1838,1750,0,1179,38,533,38,1179,6,1211,0,0,10,130,86,925,23,9,13,15
Республика Башкортостан,Белебеевская,УИК №1209,884,880,0,736,60,84,60,736,3,793,0,0,0,78,28,673,2,7,4,1
город Санкт-Петербург,Территориальная избирательная комиссия №12,УИК №1768,1776,1600,0,1153,18,429,18,1153,21,1150,0,0,8,139,41,845,48,7,20,42
Республика Дагестан,Хунзахская,УИК №1695,888,917,0,652,14,251,14,652,6,660,0,0,0,52,5,599,0,3,1,0
Курганская область,Альменевская,УИК №189,85,85,0,50,3,32,3,50,0,53,0,0,0,4,1,47,1,0,0,0
Омская область,Омск, Октябрьская,УИК №244,1936,1900,0,1246,22,632,22,1246,18,1250,0,0,22,301,67,800,26,4,14,16
